Rainfall (mm);"	Year"; Month; Country; ISO3; ISO2
34,081055;1990;1;IRN;;
38,749;1990;2;IRN;;
20,996153;1990;3;IRN;;
27,504986;1990;4;IRN;;
8,852564;1990;5;IRN;;
3,183476;1990;6;IRN;;
3,7623932;1990;7;IRN;;
2,9319088;1990;8;IRN;;
2,275356;1990;9;IRN;;
8,821225;1990;10;IRN;;
7,960826;1990;11;IRN;;
17,837465;1990;12;IRN;;
42,825214;1991;1;IRN;;
33,655697;1991;2;IRN;;
56,715813;1991;3;IRN;;
20,02849;1991;4;IRN;;
13,144587;1991;5;IRN;;
5,2421656;1991;6;IRN;;
3,7887464;1991;7;IRN;;
2,977778;1991;8;IRN;;
2,5257835;1991;9;IRN;;
8,9955845;1991;10;IRN;;
9,384473;1991;11;IRN;;
44,526352;1991;12;IRN;;
39,043304;1992;1;IRN;;
29,373505;1992;2;IRN;;
35,813393;1992;3;IRN;;
35,273506;1992;4;IRN;;
27,08319;1992;5;IRN;;
6,5568376;1992;6;IRN;;
4,0086894;1992;7;IRN;;
3,7954414;1992;8;IRN;;
3,2672362;1992;9;IRN;;
3,2350426;1992;10;IRN;;
14,582336;1992;11;IRN;;
42,094444;1992;12;IRN;;
36,642166;1993;1;IRN;;
46,689316;1993;2;IRN;;
34,817947;1993;3;IRN;;
31,90299;1993;4;IRN;;
22,310684;1993;5;IRN;;
6,5237894;1993;6;IRN;;
3,845014;1993;7;IRN;;
3,7663817;1993;8;IRN;;
2,9767807;1993;9;IRN;;
7,1095443;1993;10;IRN;;
22,149145;1993;11;IRN;;
10,854986;1993;12;IRN;;
28,650284;1994;1;IRN;;
17,542736;1994;2;IRN;;
40,67849;1994;3;IRN;;
23,357265;1994;4;IRN;;
16,482052;1994;5;IRN;;
5,6641026;1994;6;IRN;;
3,2072651;1994;7;IRN;;
2,7433047;1994;8;IRN;;
3,0662394;1994;9;IRN;;
11,916097;1994;10;IRN;;
21,922222;1994;11;IRN;;
22,271084;1994;12;IRN;;
13,760114;1995;1;IRN;;
32,841312;1995;2;IRN;;
30,062963;1995;3;IRN;;
38,984188;1995;4;IRN;;
15,292023;1995;5;IRN;;
6,325926;1995;6;IRN;;
3,2723649;1995;7;IRN;;
3,181054;1995;8;IRN;;
3,5495727;1995;9;IRN;;
5,1566954;1995;10;IRN;;
5,7737894;1995;11;IRN;;
26,423649;1995;12;IRN;;
42,970085;1996;1;IRN;;
41,911537;1996;2;IRN;;
54,517803;1996;3;IRN;;
32,700855;1996;4;IRN;;
15,490883;1996;5;IRN;;
3,9001422;1996;6;IRN;;
3,321225;1996;7;IRN;;
2,548718;1996;8;IRN;;
3,421795;1996;9;IRN;;
7,441738;1996;10;IRN;;
7,738604;1996;11;IRN;;
14,063675;1996;12;IRN;;
32,31852;1997;1;IRN;;
11,467806;1997;2;IRN;;
48,22379;1997;3;IRN;;
27,944586;1997;4;IRN;;
15,828775;1997;5;IRN;;
8,574074;1997;6;IRN;;
5,321795;1997;7;IRN;;
2,9767807;1997;8;IRN;;
3,9737892;1997;9;IRN;;
6,7290597;1997;10;IRN;;
26,398575;1997;11;IRN;;
30,386469;1997;12;IRN;;
46,392593;1998;1;IRN;;
35,894157;1998;2;IRN;;
42,846294;1998;3;IRN;;
26,823505;1998;4;IRN;;
16,061966;1998;5;IRN;;
4,1910257;1998;6;IRN;;
4,225926;1998;7;IRN;;
3,5182335;1998;8;IRN;;
3,2196584;1998;9;IRN;;
