Temperature (C);"	Year"; Month; Country; ISO3; ISO2
4,147721;1990;1;IRN;;
6,406695;1990;2;IRN;;
11,216524;1990;3;IRN;;
16,953989;1990;4;IRN;;
23,415668;1990;5;IRN;;
27,35584;1990;6;IRN;;
29,117237;1990;7;IRN;;
28,36054;1990;8;IRN;;
24,800426;1990;9;IRN;;
18,32265;1990;10;IRN;;
13,435043;1990;11;IRN;;
7,355983;1990;12;IRN;;
5,696439;1991;1;IRN;;
6,19302;1991;2;IRN;;
11,074644;1991;3;IRN;;
18,219372;1991;4;IRN;;
21,75527;1991;5;IRN;;
26,875784;1991;6;IRN;;
29,156551;1991;7;IRN;;
27,951992;1991;8;IRN;;
24,13077;1991;9;IRN;;
18,500427;1991;10;IRN;;
12,534901;1991;11;IRN;;
7,65057;1991;12;IRN;;
3,2584045;1992;1;IRN;;
5,999145;1992;2;IRN;;
8,395299;1992;3;IRN;;
15,921367;1992;4;IRN;;
20,339174;1992;5;IRN;;
26,551138;1992;6;IRN;;
28,712109;1992;7;IRN;;
26,80983;1992;8;IRN;;
22,815384;1992;9;IRN;;
17,858547;1992;10;IRN;;
13,082336;1992;11;IRN;;
7,54302;1992;12;IRN;;
4,694302;1993;1;IRN;;
7,2205133;1993;2;IRN;;
10,525071;1993;3;IRN;;
17,199003;1993;4;IRN;;
22,096867;1993;5;IRN;;
26,567947;1993;6;IRN;;
28,690456;1993;7;IRN;;
27,53248;1993;8;IRN;;
24,533476;1993;9;IRN;;
17,505983;1993;10;IRN;;
11,550855;1993;11;IRN;;
7,925071;1993;12;IRN;;
6,65;1994;1;IRN;;
6,826211;1994;2;IRN;;
12,508974;1994;3;IRN;;
18,137608;1994;4;IRN;;
22,821795;1994;5;IRN;;
27,164387;1994;6;IRN;;
29,38789;1994;7;IRN;;
28,781195;1994;8;IRN;;
22,653988;1994;9;IRN;;
18,10114;1994;10;IRN;;
13,931338;1994;11;IRN;;
5,82906;1994;12;IRN;;
7,04302;1995;1;IRN;;
8,110683;1995;2;IRN;;
11,453704;1995;3;IRN;;
17,043163;1995;4;IRN;;
22,308973;1995;5;IRN;;
26,647863;1995;6;IRN;;
29,94701;1995;7;IRN;;
29,158688;1995;8;IRN;;
24,460827;1995;9;IRN;;
18,283619;1995;10;IRN;;
12,974073;1995;11;IRN;;
6,1306267;1995;12;IRN;;
4,1706553;1996;1;IRN;;
8,120228;1996;2;IRN;;
10,80812;1996;3;IRN;;
16,730627;1996;4;IRN;;
22,78718;1996;5;IRN;;
27,156979;1996;6;IRN;;
28,95;1996;7;IRN;;
27,929203;1996;8;IRN;;
25,192593;1996;9;IRN;;
18,299858;1996;10;IRN;;
11,472079;1996;11;IRN;;
8,630912;1996;12;IRN;;
6,4722223;1997;1;IRN;;
6,8280625;1997;2;IRN;;
10,160826;1997;3;IRN;;
16,802849;1997;4;IRN;;
22,637321;1997;5;IRN;;
27,820654;1997;6;IRN;;
29,99316;1997;7;IRN;;
29,383474;1997;8;IRN;;
24,623505;1997;9;IRN;;
20,128633;1997;10;IRN;;
11,726496;1997;11;IRN;;
7,612963;1997;12;IRN;;
4,736182;1998;1;IRN;;
6,4992876;1998;2;IRN;;
11,944587;1998;3;IRN;;
18,944729;1998;4;IRN;;
23,56809;1998;5;IRN;;
28,389032;1998;6;IRN;;
30,22436;1998;7;IRN;;
29,499573;1998;8;IRN;;
25,533903;1998;9;IRN;;
19,459402;1998;10;IRN;;
14,314957;1998;11;IRN;;
10,649145;1998;12;IRN;;
6,4014244;1999;1;IRN;;
9,989174;1999;2;IRN;;
11,766524;1999;3;IRN;;
18,382763;1999;4;IRN;;
23,874073;1999;5;IRN;;
28,193304;1999;6;IRN;;
29,487606;1999;7;IRN;;
29,665812;1999;8;IRN;;
25,219372;1999;9;IRN;;
20,065954;1999;10;IRN;;
12,658832;1999;11;IRN;;
8,069088;1999;12;IRN;;
6,24302;2000;1;IRN;;
7,5648146;2000;2;IRN;;
11,79943;2000;3;IRN;;
20,647293;2000;4;IRN;;
25,293304;2000;5;IRN;;
27,868662;2000;6;IRN;;
29,804417;2000;7;IRN;;
28,961111;2000;8;IRN;;
25,472507;2000;9;IRN;;
18,457123;2000;10;IRN;;
11,149715;2000;11;IRN;;
7,8801994;2000;12;IRN;;
5,1061254;2001;1;IRN;;
7,966666;2001;2;IRN;;
13,970512;2001;3;IRN;;
19,178062;2001;4;IRN;;
25,01168;2001;5;IRN;;
28,716665;2001;6;IRN;;
30,446583;2001;7;IRN;;
29,467236;2001;8;IRN;;
25,382193;2001;9;IRN;;
20,206553;2001;10;IRN;;
13,042023;2001;11;IRN;;
9,735897;2001;12;IRN;;
6,2336183;2002;1;IRN;;
8,62792;2002;2;IRN;;
13,894159;2002;3;IRN;;
17,688747;2002;4;IRN;;
24,047579;2002;5;IRN;;
28,290314;2002;6;IRN;;
30,198008;2002;7;IRN;;
28,701426;2002;8;IRN;;
