Country/region,Data Quality,HDI,Per Capita GDP,Region,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint
Afghanistan,6,0.46,$615,Middle East/Central Asia,29.8,0.3,0.2,0.1,0.2,0.0,0.0,0.8
Albania,6,0.73,$4.534,Other Europe,3.2,0.8,0.2,0.3,0.9,0.0,0.1,2.2
Algeria,5,0.73,$5.431,Africa,38.5,0.6,0.2,0.2,1.1,0.0,0.0,2.1
Angola,6,0.52,$4.666,Africa,20.8,0.3,0.2,0.1,0.2,0.1,0.0,0.9
Antigua and Barbuda,2,0.78,$13.205,Latin America,0.1,5.4
Argentina,6,0.83,$13.540,Latin America,41.1,0.8,0.8,0.3,1.1,0.1,0.1,3.1
Armenia,3B,0.73,$3.426,Middle East/Central Asia,3.0,0.7,0.2,0.3,0.9,0.0,0.1,2.2
Aruba,2,Latin America,0.1,11.9
Australia,5,0.93,$66.604,Asia-Pacific,23.1,2.7,0.6,0.9,4.9,0.1,0.1,9.3
Austria,5,0.88,$51.274,EU-27,8.5,0.8,0.3,0.6,4.1,0.1,0.2,6.1
Azerbaijan,6,0.75,$7.106,Middle East/Central Asia,9.3,0.7,0.2,0.1,1.3,0.0,0.1,2.3
Bahamas,3L,0.78,$22.647,Latin America,0.4,1.0,1.1,0.2,4.5,0.1,0.0,6.8
Bahrain,3L,0.82,$24.299,Middle East/Central Asia,1.3,0.5,0.5,0.2,6.2,0.1,0.1,7.5
Bangladesh,6,0.56,$857,Asia-Pacific,154.7,0.3,0.0,0.1,0.3,0.0,0.1,0.7
Barbados,5,0.79,$15.723,Latin America,0.3,0.6,0.2,0.1,3.3,0.2,0.0,4.5
Belarus,6,0.80,$6.300,Other Europe,9.4,1.3,0.1,0.9,2.6,0.1,0.1,5.1
Belgium,6,0.89,$48.053,EU-27,11.1,1.2,0.5,1.0,4.4,0.1,0.3,7.4
Benin,6,0.48,$747,Africa,10.1,0.5,0.0,0.3,0.5,0.1,0.0,1.4
Bermuda,3T,$70.626,North America,0.1,5.8
Bhutan,3B,0.59,$2.395,Asia-Pacific,0.7,0.5,0.4,3.0,0.6,0.0,0.3,4.8
Bolivia,5,0.66,$2.253,Latin America,10.5,0.4,1.7,0.2,0.7,0.0,0.1,3.0
Bosnia and Herzegovina,5,0.73,$4.709,Other Europe,3.8,0.6,0.3,0.4,1.7,0.0,0.0,3.1
Botswana,3B,0.69,$7.744,Africa,2.0,0.3,0.9,0.2,2.4,0.0,0.0,3.8
Brazil,5,0.75,$13.238,Latin America,198.7,0.6,0.9,0.6,0.9,0.0,0.1,3.1
British Virgin Islands,3T,Latin America,0.0,2.9
Brunei Darussalam,3L,0.85,$47.097,Asia-Pacific,0.4,0.3,0.1,0.3,3.2,0.1,0.0,4.1
Bulgaria,5,0.78,$7.615,EU-27,7.3,0.6,0.1,0.4,2.1,0.0,0.1,3.3
Burkina Faso,5,0.39,$671,Africa,16.5,0.5,0.2,0.4,0.1,0.0,0.1,1.2
Burundi,4,0.39,$277,Africa,9.9,0.2,0.1,0.5,0.0,0.0,0.0,0.8
Cabo Verde,3T,0.64,$3.801,Africa,0.5,2.5
Cambodia,3T,0.55,$878,Asia-Pacific,14.9,1.2
Cameroon,6,0.50,$1.271,Africa,21.7,0.5,0.1,0.2,0.2,0.1,0.1,1.2
Canada,5,0.91,$52.145,North America,34.8,1.5,0.3,1.2,5.0,0.1,0.1,8.2
Cayman Islands,3L,Latin America,0.1,0.4,0.5,1.2,3.6,0.1,0.0,5.7
Central African Republic,6,0.37,$495,Africa,4.5,0.3,0.6,0.3,0.1,0.0,0.0,1.2
Chad,6,0.39,$1.161,Africa,12.5,0.4,0.8,0.3,0.0,0.0,0.1,1.5
Chile,6,0.83,$14.526,Latin America,17.5,0.6,0.3,1.0,2.0,0.3,0.2,4.4
China,6,0.72,$5.561,Asia-Pacific,1408.0,0.6,0.1,0.2,2.3,0.1,0.1,3.4
Colombia,6,0.72,$7.305,Latin America,47.7,0.4,0.6,0.2,0.7,0.0,0.1,1.9
Comoros,3B,0.50,$860,Africa,0.7,0.3,0.0,0.2,0.3,0.3,0.0,1.0
Congo,5,0.57,$1.944,Africa,4.3,0.2,0.1,0.4,0.5,0.1,0.0,1.3
Congo. Democratic Republic of,6,0.33,$339,Africa,65.7,0.2,0.0,0.5,0.1,0.0,0.1,0.8
Costa Rica,5,0.76,$8.980,Latin America,4.8,0.4,0.2,0.7,1.4,0.1,0.1,2.8
Côte d'Ivoire,6,0.45,$1.017,Africa,19.8,0.5,0.1,0.2,0.3,0.1,0.1,1.3
Croatia,6,0.82,$14.523,Other Europe,4.3,0.7,0.1,0.7,2.2,0.1,0.1,3.9
Cuba,6,0.77,$5.176,Latin America,11.3,0.5,0.1,0.1,1.2,0.0,0.0,2.0
Cyprus,5,0.85,$31.455,EU-27,1.1,0.8,0.1,0.2,2.9,0.1,0.1,4.2
Czech Republic,5,0.87,$21.676,EU-27,10.7,0.6,0.2,0.7,3.4,0.0,0.1,5.2
Denmark,5,0.92,$61.414,EU-27,5.6,1.2,0.5,0.8,2.6,0.2,0.3,5.5
Djibouti,2,0.46,$1.433,Africa,0.9,2.2
Dominica,5,0.72,$7.088,Latin America,0.1,0.6,0.2,0.1,1.5,0.2,0.0,2.6
Dominican Republic,6,0.71,$6.086,Latin America,10.3,0.4,0.1,0.1,0.9,0.0,0.1,1.5
Ecuador,5,0.73,$5.193,Latin America,15.5,0.3,0.3,0.2,1.1,0.2,0.1,2.2
Egypt,5,0.69,$2.930,Africa,80.7,0.7,0.1,0.2,1.0,0.0,0.2,2.2
El Salvador,5,0.66,$3.696,Latin America,6.3,0.4,0.2,0.4,0.8,0.1,0.1,2.1
Equatorial Guinea,3L,0.58,$24.064,Africa,0.7,0.3,0.0,0.3,3.2,0.2,0.0,4.0
Eritrea,5,0.39,$440,Africa,6.1,0.1,0.2,0.1,0.0,0.0,0.0,0.4
Estonia,3T,0.85,$17.304,EU-27,1.3,6.9
Ethiopia,6,0.43,$379,Africa,91.7,0.3,0.1,0.5,0.1,0.0,0.1,1.0
Fiji,5,0.72,$4.201,Asia-Pacific,0.9,0.6,0.2,0.4,1.1,0.6,0.0,2.9
Finland,3T,0.88,$50.960,EU-27,5.4,5.9
France,6,0.89,$45.430,EU-27,64.0,1.2,0.3,0.5,2.7,0.2,0.2,5.1
French Guiana,3L,Latin America,0.2,0.1,0.1,0.5,1.6,0.2,0.0,2.3
French Polynesia,5,Asia-Pacific,0.3,0.8,0.7,0.1,2.4,0.8,0.0,4.7
Gabon,3L,0.67,$11.989,Africa,1.6,0.5,0.1,0.8,0.4,0.1,0.0,2.0
Gambia,5,0.44,$506,Africa,1.8,0.5,0.1,0.2,0.2,0.1,0.0,1.0
Georgia,3B,0.75,$3.711,Middle East/Central Asia,4.4,0.4,0.2,0.1,0.8,0.0,0.0,1.6
Germany,5,0.91,$46.822,EU-27,82.8,1.1,0.1,0.5,3.3,0.1,0.2,5.3
Ghana,6,0.57,$1.628,Africa,25.4,0.6,0.1,0.7,0.4,0.2,0.1,2.0
Greece,5,0.86,$25.987,EU-27,11.1,1.1,0.4,0.2,2.6,0.1,0.1,4.4
Grenada,3T,0.74,$7.410,Latin America,0.1,3.0
Guadeloupe,5,Latin America,0.5,0.1,0.0,0.2,2.6,0.3,0.0,3.2
Guatemala,5,0.62,$3.234,Latin America,15.1,0.4,0.2,0.6,0.7,0.0,0.1,1.9
Guinea,5,0.41,$459,Africa,11.5,0.4,0.3,0.5,0.2,0.1,0.0,1.4
Guinea-Bissau,6,0.42,$681,Africa,1.7,0.4,0.4,0.7,0.1,0.0,0.1,1.5
Guyana,5,0.63,$3.269,Latin America,0.8,0.7,0.2,0.8,1.3,0.1,0.1,3.1
Haiti,6,0.48,$749,Latin America,10.2,0.3,0.0,0.1,0.2,0.0,0.0,0.6
Honduras,3B,0.61,$2.270,Latin America,7.9,0.3,0.3,0.5,0.6,0.0,0.1,1.7
Hungary,5,0.82,$13.964,EU-27,10.0,0.4,0.1,0.4,1.9,0.0,0.1,2.9
India,6,0.60,$1.514,Asia-Pacific,1236.7,0.3,0.0,0.1,0.6,0.0,0.1,1.2
Indonesia,6,0.68,$3.689,Asia-Pacific,246.9,0.4,0.0,0.2,0.6,0.2,0.1,1.6
Iran. Islamic Republic of,3B,0.75,$7.511,Middle East/Central Asia,76.4,0.7,0.1,0.1,1.7,0.1,0.1,2.8
Iraq,3B,0.65,$5.849,Middle East/Central Asia,32.8,0.4,0.0,0.0,1.4,0.0,0.0,1.9
Ireland,5,0.91,$52.854,EU-27,4.6,1.1,0.5,0.5,3.2,0.2,0.1,5.6
Israel,6,0.89,$33.719,Middle East/Central Asia,7.6,0.9,0.2,0.4,4.6,0.1,0.1,6.2
Italy,6,0.87,$38.412,EU-27,60.9,0.9,0.3,0.4,2.8,0.1,0.1,4.6
Jamaica,3B,0.72,$5.226,Latin America,2.8,0.4,0.1,0.2,1.1,0.1,0.1,1.9
Japan,6,0.89,$46.202,Asia-Pacific,127.3,0.5,0.1,0.3,3.7,0.3,0.1,5.0
