1,Sudan,149.17,216.10,2012
2,Sri Lanka,135.83,194.46,2012
3,Iran,131.85,188.55,2012
4,Morocco,125.83,185.35,2012
5,Egypt,125.71,177.41,2012
6,Zimbabwe,124.17,184.33,2012
7,China,122.80,170.96,2012
8,Philippines,116.65,160.94,2012
9,Bangladesh,116.25,163.04,2012
10,Saudi Arabia,112.50,156.70,2012
11,Bosnia And Herzegovina,112.42,159.48,2012
12,Venezuela,110.00,160.77,2012
13,Russia,104.67,142.88,2012
14,Chile,103.75,150.33,2012
15,India,102.91,139.00,2012
16,Thailand,101.61,141.15,2012
17,Pakistan,101.33,138.35,2012
18,Ukraine,100.24,136.83,2012
19,Puerto Rico,99.17,133.11,2012
20,Bulgaria,98.48,134.38,2012
21,Mexico,93.50,127.79,2012
22,Romania,91.92,123.63,2012
23,Colombia,91.46,124.25,2012
24,Malaysia,91.25,125.35,2012
25,Hungary,90.25,129.33,2012
26,Argentina,90.00,128.36,2012
27,Hong Kong,89.58,146.80,2012
28,Turkey,89.23,118.70,2012
29,South Africa,88.96,119.13,2012
30,Belgium,88.33,120.99,2012
31,Greece,87.77,118.50,2012
32,Spain,85.62,113.05,2012
33,Italy,85.48,117.19,2012
34,Poland,83.75,114.15,2012
35,Brazil,82.92,112.38,2012
36,Serbia,80.97,110.68,2012
37,Singapore,70.83,93.89,2012
38,United Arab Emirates,69.17,91.05,2012
39,Czech Republic,65.99,92.24,2012
40,United Kingdom,64.43,86.41,2012
41,France,61.82,84.68,2012
42,United States,61.27,77.70,2012
43,Tunisia,59.58,77.41,2012
44,Jordan,58.00,90.20,2012
45,Japan,52.50,74.37,2012
46,Portugal,51.91,68.32,2012
47,Croatia,49.94,69.35,2012
48,Israel,48.75,69.37,2012
49,Ireland,45.17,63.99,2012
50,Germany,45.14,58.08,2012
51,Indonesia,43.84,58.02,2012
52,Austria,42.84,59.78,2012
53,Netherlands,41.67,60.30,2012
54,Canada,41.59,52.33,2012
55,Australia,37.25,45.01,2012
56,Switzerland,35.49,54.80,2012
57,Slovenia,35.00,48.02,2012
58,Denmark,34.17,50.18,2012
59,Sweden,32.50,43.85,2012
60,Costa Rica,25.00,59.04,2012
61,Finland,24.38,35.51,2012
62,Norway,19.22,23.23,2012
63,New Zealand,17.08,27.49,2012
64,Iceland,7.08,12.69,2012
1,Ghana,113.79,212.16,2013
2,Peru,97.18,177.20,2013
3,Bangladesh,96.93,175.61,2013
4,Jamaica,96.84,176.66,2013
5,Nigeria,94.83,182.44,2013
