1;Egypt;96.05;174.17
2;Lebanon;91.88;165.17
3;Mongolia;90.96;167.98
4;Monaco;90.11;163.54
5;Bangladesh;88.27;158.56
6;Peru;87.91;158.18
7;Azerbaijan;87.04;155.51
8;Vietnam;86.09;153.20
9;Myanmar;85.62;156.90
10;China;85.54;155.89
11;Macedonia;85.29;156.32
12;Iran;84.21;154.11
13;Bolivia;83.14;147.86
14;Jordan;82.72;146.82
15;Cambodia;82.57;147.82
16;Bahrain;81.73;149.20
17;Nepal;81.19;143.85
18;Qatar;80.96;144.26
19;Venezuela;77.68;138.57
20;Trinidad And Tobago;77.22;136.40
21;India;77.02;135.55
22;Pakistan;76.64;134.73
23;Algeria;76.17;135.20
24;Dominican Republic;75.33;132.42
25;Malta;75.18;132.63
26;Indonesia;75.14;131.84
27;Tunisia;75.12;132.33
28;Albania;75.08;131.72
29;Philippines;73.12;127.73
30;Saudi Arabia;72.20;128.09
31;Jamaica;72.16;126.27
32;Kazakhstan;72.00;131.53
33;Thailand;71.51;124.15
34;Zimbabwe;71.20;127.72
35;Georgia;69.90;124.96
36;Ukraine;67.84;118.78
37;Malaysia;67.53;116.58
38;Chile;67.21;123.27
39;Hong Kong;67.17;121.08
40;Morocco;66.87;116.83
41;Turkey;65.75;115.18
42;Sri Lanka;65.21;113.27
43;Mexico;64.64;111.24
44;Russia;64.49;111.34
45;Colombia;64.44;117.34
46;Taiwan;63.37;110.74
47;South Africa;63.29;109.49
48;Tanzania;62.59;108.13
49;Israel;61.46;109.21
50;Brazil;61.18;104.63
51;Bulgaria;60.35;107.77
52;United Arab Emirates;59.54;102.71
53;Ecuador;59.32;100.99
54;Bahamas;58.60;100.19
55;Argentina;58.46;101.72
56;Bosnia And Herzegovina;57.95;101.63
57;Belgium;56.61;97.91
58;Italy;56.56;97.11
59;Panama;56.02;100.48
60;Serbia;55.14;94.33
61;Costa Rica;53.09;92.88
62;Puerto Rico;50.67;87.04
63;Romania;50.50;84.14
64;Poland;49.87;85.34
65;South Korea;49.65;89.02
66;Slovakia;48.43;82.59
67;Mauritius;47.38;84.65
68;Greece;47.22;79.54
69;Hungary;46.70;80.40
70;Spain;46.58;77.23
71;France;46.31;77.49
72;Libya;45.42;75.02
73;Uruguay;42.93;73.48
74;Czech Republic;42.49;72.23
75;Singapore;38.83;66.81
76;Latvia;37.14;61.99
77;United Kingdom;35.02;56.99
78;United States;34.94;60.23
79;Japan;34.04;54.90
80;Belarus;33.70;53.71
81;Cyprus;33.37;54.75
82;Netherlands;32.79;53.29
83;Portugal;31.85;51.56
84;Lithuania;30.94;51.13
85;Ireland;30.85;53.16
86;Austria;30.77;52.14
87;Croatia;30.42;49.92
88;Denmark;29.93;46.55
89;Germany;29.91;47.80
90;Canada;29.48;48.07
91;Slovenia;28.20;50.94
92;Switzerland;23.02;37.46
93;Australia;22.88;35.59
94;New Zealand;19.04;31.62
95;Sweden;18.30;29.00
96;Norway;18.21;30.05
97;Finland;17.84;30.68
98;Estonia;16.45;29.81
99;Iceland;13.10;22.98
